Anime,title,genre,rating,season,a_status,start_date,studio,num_of_episode,description,,,,,,,,,,,,,,,,
1,Pokemon,"Animation,Adventure,Comedy,Family,Fantasy",5,18,Currently airing,11/06/2014,"OML, Inc.",20,"Pok®¶mon (•›•±•‚•Û Pokemon?, /_po_ke_m_n/ poh-kay-mon)[1][2] is a media franchise owned by The Pok®¶mon Company,[3] and created by Satoshi Tajiri in 1995.[4] It is centered on fictional creatures called ""Pok®¶mon"", which humans capture and train to fight each other for sport.",,,,,,,,,,,,,,,,
2,"Code Geass
","Alternate History, Mecha, Drama, Sci-Fi, Super Power",5,1,Finished airing,10/06/2006,Sunrise,25,"On August 10th of the year 2010 the Holy Empire of Britannia began a campaign of conquest, its sights set on Japan. Operations were completed in one month thanks to Britannia's deployment of new mobile humanoid armor vehicles dubbed Knightmare Frames. Japan's rights and identity were stripped away, the once proud nation now referred to as Area 11. Its citizens, Elevens, are forced to scratch out a living while the Britannian aristocracy lives comfortably within their settlements. Pockets of resistance appear throughout Area 11, working towards independence for Japan.Lelouch, an exiled Imperial Prince of Britannia posing as a student, finds himself in the heart of the ongoing conflict for the island nation. Through a chance meeting with a mysterious girl named C.C., Lelouch gains his Geass, the power of the king. Now endowed with absolute dominance over any person, Lelouch may finally realize his goal of bringing down Britannia from within!",,,,,,,,,,,,,,,,
3,Naruto,"Animation,Action,Adventure,Comedy,Fantasy,Thriller",5,1,Finished airing,03/10/2002,Studio Pierrot,220,"Naruto (• •Î•»?) is a Japanese manga series written and illustrated by Masashi Kishimoto. It tells the story of Naruto Uzumaki, an adolescent ninja who constantly searches for recognition and dreams to become the Hokage, the ninja in his village who is acknowledged as the leader and the strongest of all. The series is based on a one-shot manga by Kishimoto that was published in the August 1997 issue of Akamaru Jump.",,,,,,,,,,,,,,,,
4,Shokugeki no Souma,"Comedy, Ecchi, School, Shounen",4,1,Currently airing,04/04/2015,J. C. Staff,24,"Yukihira Souma's dream is to become a full-time chef in his father's restaurant and surpass his father's culinary skill. But just as Yukihira graduates from middle schools his father, Yukihira Jouichirou, closes down the restaurant to cook in Europe. Although downtrodden, Souma's fighting spirit is rekindled by a challenge from Jouichirou which is to survive in an elite culinary school where only 10% of the students graduate. Can Souma survive?",,,,,,,,,,,,,,,,
5,Shingeki no Kyojin,"Action, Horror, Drama, Fantasy, Tragedy, Psychological, Mature",5,1,Finished airing,04/06/2014,Wit Studio,25,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of giants. Flash forward to the present and the city has not seen a giant in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as one of the city walls is damaged by a 60 meter giant causing a breach in the wall. As the smaller giants flood the city, the two kids watch in horror as Eren's mother is eaten alive.Unable to save her , Eren vows that he will wipe out every single giant and take revenge for all of mankind.",,,,,,,,,,,,,,,,
6,Emma,"Drama, Historical, Romance",4,1,Finished airing,04/02/2015,Studio Pierrot,12,"In Victorian-era England, a young girl is rescued from a life of destitution and raised to become a proper British maid. Emma meets William, the eldest son of a wealthy family, and immediately falls in love with him. William shares her feelings, but the strict rules of their society prevent their relationship from ever coming out in the open. Traditional class distinctions and rich, historical details provide the backdrop for this appealing romance.",,,,,,,,,,,,,,,,
7,Jyu oh sei,"Science fiction, romance, tragedy",4,1,Finished airing,04/13/2006,Bones,11,"Jyu-Oh-Sei (Japanese: _Õı–« Hepburn: J®± _ Sei?, lit. ""Planet of the Beast King"") is a Japanese manga series written and illustrated by Natsumi Itsuki. An 11-episode anime adaptation was animated by Bones and premiered April 13, 2006 in Japan as part of Fuji TV's Noitamina programming block.",,,,,,,,,,,,,,,,
8,Bleach,"Action, Adventure, Comedy, Drama",4,16,Currently airing,10/11/2011,Studio Pierrot,24,"Ichigo Kurosaki has always been able to see ghosts, but this ability doesn't change his life nearly as much as his close encounter with Rukia Kuchiki, a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow, an evil spirit that preys on humans who display psychic energy, Rukia attempts to lend Ichigo some of her powers so that he can save his family; but much to her surprise, Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself, Ichigo quickly learns that the world he inhabits is one full of dangerous spirits, and along with Rukia--who is slowly regaining her powers--it's Ichigo's job to protect the innocent from Hollows and help the spirits themselves find peace.",,,,,,,,,,,,,,,,
9,Meitantei Conan,"Animation,Comedy,Crime,Drama,Mystery,Romance,Thriller",5,16,Currently airing,08/01/1996,"TMS Entertainment, Ltd",,"Shinichi Kudo is a high-school student who, by using observation and deduction, is good at solving mysteries. While investigating one, he is caught by the criminals that he was watching and forced to take an experimental drug. Leaving him for dead, the criminals disappear. Instead of killing him, however, the drug turns Shinichi into a little kid.
",,,,,,,,,,,,,,,,
10,"Code Geass
","Alternate History, Mecha, Drama, Sci-Fi, Super Power",5,2,Finished airing,04/06/2008,Sunrise,25,"On August 10th of the year 2010 the Holy Empire of Britannia began a campaign of conquest, its sights set on Japan. Operations were completed in one month thanks to Britannia's deployment of new mobile humanoid armor vehicles dubbed Knightmare Frames. Japan's rights and identity were stripped away, the once proud nation now referred to as Area 11. Its citizens, Elevens, are forced to scratch out a living while the Britannian aristocracy lives comfortably within their settlements. Pockets of resistance appear throughout Area 11, working towards independence for Japan.Lelouch, an exiled Imperial Prince of Britannia posing as a student, finds himself in the heart of the ongoing conflict for the island nation. Through a chance meeting with a mysterious girl named C.C., Lelouch gains his Geass, the power of the king. Now endowed with absolute dominance over any person, Lelouch may finally realize his goal of bringing down Britannia from within!",,,,,,,,,,,,,,,,
